Page,OriginalDate,DaysSinceStart,Prompt
1901,2009-04-13,0,Homestuck
1902,2009-04-13,0,Enter name.
1903,2009-04-13,0,Try again.
1904,2009-04-13,0,Examine room.
1905,2009-04-13,0,John: Quickly retrieve arms from drawer.
1906,2009-04-13,0,Remove CAKE from MAGIC CHEST.
1907,2009-04-13,0,John: Quickly retrieve arms from MAGIC CHEST.
1908,2009-04-14,1,John: Examine contents of chest.
1909,2009-04-14,1,John: Captchalogue smoke pellets.
1910,2009-04-14,1,John: Equip fake arms.
1911,2009-04-14,1,John: Examine Problem Sleuth Poster.
1912,2009-04-14,1,John: Read note on drawer.
1913,2009-04-14,1,John: Take poster.
1914,2009-04-14,1,John: Acquire hammer and nails. They will come in handy.
1915,2009-04-14,1,John: Take nails.
1916,2009-04-14,1,John: Squawk like an imbecile and shit on your desk.
1917,2009-04-14,1,John: Combine the nails and hammer.
1918,2009-04-14,1,John: Use hammer/nails on poster.
1919,2009-04-14,1,John: Nail poster to wall.
1920,2009-04-14,1,John: Examine Con Air poster.
1921,2009-04-14,1,John: Examine Deep Impact poster.
1922,2009-04-14,1,John: Examine calendar.
1923,2009-04-14,1,John: Eat cake.
1924,2009-04-15,2,John: Examine incoming message.
1925,2009-04-15,2,John: Open Pesterchum.
1926,2009-04-15,2,John: Open message.
1927,2009-04-15,2,John: Look out window.
1928,2009-04-15,2,John: Examine mailbox.
1929,2009-04-15,2,John: Go outside and check mailbox.
1930,2009-04-15,2,John: Forget it. Check mail later.
1931,2009-04-16,3,John: Examine games on CD rack.
1932,2009-04-16,3,John: Read COLONEL SASSACRE'S DAUNTING TEXT.
1933,2009-04-16,3,John: Captchalogue fake arms again.
1934,2009-04-16,3,"John: Set Pesterchum status to ""bully""."
1935,2009-04-16,3,John: Answer chum.
1936,2009-04-16,3,John: Combine fake arms with cake.
1937,2009-04-16,3,John: Allocate hammer to strife specibus.
1938,2009-04-16,3,"John: Select ""HAMMER""."
1939,2009-04-16,3,John: Report progress to TG.
1940,2009-04-17,4,John: Captchalogue Colonel's big book.
1941,2009-04-17,4,John: Examine GameBro Magazine.
1942,2009-04-17,4,John: Read article.
1943,2009-04-17,4,John: Captchalogue GameBro.
1944,2009-04-18,5,John: Captchalogue magician's hat.
1945,2009-04-18,5,John: Get funny glasses too.
1946,2009-04-18,5,John: Wear disguise to fool dad.
1947,2009-04-18,5,John: Leave room.
1948,2009-04-18,5,John: Go downstairs.
1949,2009-04-18,5,John: Admire harlequins.
1950,2009-04-18,5,John: Examine fireplace.
1951,2009-04-18,5,John: Toss GameBro into fire.
1952,2009-04-18,5,John: Fondly regard cremation.
1953,2009-04-18,5,John: Topple urn.
1954,2009-04-18,5,John: Combine father's pipe with clever disguise.
1955,2009-04-18,5,John: Examine oversized gift.
1956,2009-04-18,5,John: Open large present.
1957,2009-04-19,6,John: Captchalogue ashes.
1958,2009-04-19,6,John: Combine ashes with urn.
1959,2009-04-19,6,John: Put urn back.
1960,2009-04-19,6,John: Go get fake arms again.
1961,2009-04-20,7,John: Examine 3rd and 4th walls of room.
1962,2009-04-20,7,John: Check Pesterchum.
1963,2009-04-20,7,John: Check message.
1964,2009-04-20,7,John: Go back downstairs.
1965,2009-04-20,7,John: Attach arms to doll.
1966,2009-04-20,7,John: Inspect burnt paper on the floor.
1967,2009-04-20,7,John: Throw present wrap in fire.
1968,2009-04-20,7,John: Captchalogue doll.
1969,2009-04-20,7,John: Read Colonel Sassacre's text.
1970,2009-04-20,7,John: Find dad and retrieve mail.
1971,2009-04-21,8,John: Go in the study.
1972,2009-04-21,8,John: Examine father's desk.
1973,2009-04-21,8,John: Upgrade costume with hat from hat rack.
1974,2009-04-21,8,John: Combine second pipe with clever disguise.
1975,2009-04-21,8,John: Examine captchalogue card.
1976,2009-04-21,8,John: Captchalogue captchalogue card.
1977,2009-04-21,8,[S] John: Play haunting piano refrain.
1978,2009-04-22,9,John: Play 52 Pick-Up.
1979,2009-04-22,9,John: Attempt to leave the house.
1980,2009-04-24,11,John: Exit.
1981,2009-04-24,11,John: Check mail.
1982,2009-04-24,11,[S] ==>
1983,2009-04-24,11,==>
1984,2009-04-24,11,John: Leave a surprise for the mailman.
1985,2009-04-24,11,John: See if your father left the mail in the car.
1986,2009-04-24,11,John: Spy in the kitchen.
1987,2009-04-24,11,John: Go back into the kitchen.
1988,2009-04-27,14,[S] John: Enter.
1989,2009-04-27,14,==>
1990,2009-04-28,15,[S] STRIFE!
1991,2009-04-29,16,John: Retrieve the package and flee to your room!
1992,2009-04-29,16,John: Equip disguise for defense.
1993,2009-04-29,16,John: Captachalogue pie tin.
1994,2009-04-29,16,==>
1995,2009-04-29,16,John: Take the cake!
1996,2009-04-29,16,==>
1997,2009-04-30,17,John: Abscond.
1998,2009-04-30,17,John: Take PDA.
1999,2009-04-30,17,John: Take package.
2000,2009-04-30,17,John: Take envelope.
2001,2009-04-30,17,John: Exit kitchen.
2002,2009-05-01,18,John: Get cake on couch.
2003,2009-05-01,18,John: Combine the cakes to make a double decker cake.
2004,2009-05-02,19,John: Retreat upstairs!
2005,2009-05-02,19,John: Go to bathroom and grab a towel.
2006,2009-05-02,19,"John: Remove PDA, envelope and package from cake."
2007,2009-05-02,19,John: Retrieve your items.
2008,2009-05-02,19,John: Go to bedroom.
2009,2009-05-03,20,"John: Admire ""Failure to Launch"" poster."
2010,2009-05-03,20,[S] John: Check Pesterchum.
2011,2009-05-04,21,John: Open browser and go to mspaintadventures.com
2012,2009-05-04,21,==>
2013,2009-05-05,22,John: Install the Sburb beta.
2014,2009-05-05,22,==>
2015,2009-05-05,22,John: Bone up on data structures.
2016,2009-05-05,22,John: Read Data Structures book.
2017,2009-05-05,22,John: Get free Fetch Modus.
2018,2009-05-05,22,John: Apply Fetch Modus to Sylladex.
2019,2009-05-06,23,John: Switch back to Stack Modus.
2020,2009-05-06,23,John: Put down razor.
2021,2009-05-06,23,John: Pick up two items.
2022,2009-05-06,23,John: Get other cake.
2023,2009-05-06,23,John: Get more stuff.
2024,2009-05-06,23,John: Might as well grab those cuffs.
2025,2009-05-06,23,==>
2026,2009-05-07,24,John: Open up that package!
2027,2009-05-07,24,John: Get razor.
2028,2009-05-07,24,John: Pick up package again.
2029,2009-05-07,24,John: Captchalogue glass shards.
2030,2009-05-07,24,==>
2031,2009-05-08,25,John: Use the razor on the red package.
2032,2009-05-08,25,==>
2033,2009-05-09,26,John: Check status of Sburb beta.
2034,2009-05-09,26,John: Look at monitor.
2035,2009-05-09,26,John: Check Pesterchum window.
2036,2009-05-09,26,John: Press [ENTER]
2037,2009-05-09,26,[S] ==>
2038,2009-05-12,29,==>
2039,2009-05-12,29,TT: Select magic chest.
2040,2009-05-12,29,TT: Zoom out.
2041,2009-05-12,29,TT: Drop chest.
2042,2009-05-13,30,John: Get the card.
2043,2009-05-13,30,==>
2044,2009-05-13,30,TT: Select stuff in yard and move it back into room.
2045,2009-05-13,30,TT: Select John.
2046,2009-05-13,30,TT: Select bunny.
2047,2009-05-13,30,TT: Put the bunny back in the box.
2048,2009-05-14,31,TT: Revise room.
2049,2009-05-14,31,==>
2050,2009-05-14,31,TT: Open Phernalia Registry.
2051,2009-05-14,31,TT: Deploy Totem Lathe.
2052,2009-05-15,32,John: Examine Totem Lathe.
2053,2009-05-15,32,TT: Open Grist Cache
2054,2009-05-15,32,==>
2055,2009-05-15,32,John: Stand in corner.
2056,2009-05-15,32,TT: Deploy Cruxtruder.
2057,2009-05-15,32,TT: Deploy Alchemiter.
2058,2009-05-16,33,John: Get PDA.
2059,2009-05-16,33,John: Install Pesterchum.
2060,2009-05-16,33,John: Go out to balcony.
2061,2009-05-16,33,John: Examine Alchemiter in a cautious manner.
2062,2009-05-17,34,John: Look through telescope.
2063,2009-05-17,34,TT: Grab the soiled toilet.
2064,2009-05-17,34,==>
2065,2009-05-17,34,John: Investigate.
2066,2009-05-17,34,John: Hop down the hole.
2067,2009-05-17,34,John: Get sledgehammer and card.
2068,2009-05-17,34,==>
2069,2009-05-17,34,John: Answer chum.
2070,2009-05-17,34,John: Might as well check out the Cruxtruder.
2071,2009-05-17,34,==>
2072,2009-05-18,35,John: Examine wheel on the Cruxtruder.
2073,2009-05-18,35,TT: Put bathtub in driveway.
2074,2009-05-18,35,John: Scold TT.
2075,2009-05-18,35,John: Hit Cruxtruder with sledgehammer.
2076,2009-05-19,36,TT: Pick up sledgehammer.
2077,2009-05-19,36,==>
2078,2009-05-19,36,==>
2079,2009-05-20,37,John: Turn wheel again.
2080,2009-05-20,37,John: Get cruxite.
2081,2009-05-20,37,TT: Deploy Pre-punched Card.
2082,2009-05-20,37,John: Get card.
2083,2009-05-20,37,John: Captchalogue fanciful harlequins.
2084,2009-05-20,37,==>
2085,2009-05-21,38,TT: Drop maimed harlequin into Kernelsprite.
2086,2009-05-21,38,[S] ==>
2087,2009-05-21,38,==>
2088,2009-05-21,38,John: Use pre-punched card with the alchemiter.
2089,2009-05-21,38,TT: Explore Atheneum.
2090,2009-05-22,39,John: Captchalogue telescope.
2091,2009-05-22,39,John: Put cruxite on weird pattern on alchemiter.
2092,2009-05-22,39,==>
2093,2009-05-22,39,==>
2094,2009-05-23,40,John: Switch modus and use telescope to inspect sky.
2095,2009-05-23,40,==>
2096,2009-05-23,40,==>
2097,2009-05-23,40,==>
2098,2009-05-23,40,John: High-five Kernelsprite.
2099,2009-05-24,41,John: Attempt to ingest a unit of build grist.
2100,2009-05-24,41,==>
2101,2009-05-24,41,TT: Revise bathroom.
2102,2009-05-24,41,==>
2103,2009-05-24,41,John: Run to your room and contact TT through Pesterchum.
2104,2009-05-24,41,John: Answer chums.
2105,2009-05-25,42,John: Use pre-punched card on totem lathe.
2106,2009-05-25,42,John: Take cruxite to totem lathe.
2107,2009-05-25,42,==>
2108,2009-05-26,43,==>
2109,2009-05-26,43,John: Use cruxite dowel on totem lathe.
2110,2009-05-26,43,John: Activate lathe.
2111,2009-05-26,43,==>
2112,2009-05-26,43,==>
2113,2009-05-26,43,==>
2114,2009-05-27,44,==>
2115,2009-05-28,45,Enter name.
2116,2009-05-28,45,One more time.
2117,2009-05-28,45,Examine room.
2118,2009-05-29,46,Rose: Retrieve arms from the purple box.
2119,2009-05-29,46,Rose: Writhe like a flagellum and puke on your bed.
2120,2009-05-29,46,"Rose: Stroke writing journal and mutter, 'My precious...'"
2121,2009-05-29,46,Rose: Get violin.
2122,2009-05-29,46,[S] Rose: Play a haunting refrain on the violin.
2123,2009-05-30,47,John: Tell Liv Tyler you love her before impact.
2124,2009-05-30,47,Rose: Captchalogue knitting supply bag.
2125,2009-05-30,47,Rose: Look out window.
2126,2009-05-31,48,Rose: Get laptop.
2127,2009-05-31,48,Rose: Examine book on desk.
2128,2009-05-31,48,Rose: Take book.
2129,2009-06-01,49,Rose: Go explore the house.
2130,2009-06-02,50,Rose: Tiptoe to observatory.
2131,2009-06-02,50,==>
2132,2009-06-02,50,Rose: Sneak by.
2133,2009-06-02,50,==>
2134,2009-06-03,51,Rose: Go through door.
2135,2009-06-03,51,Rose: Hurry up to that observatory.
2136,2009-06-03,51,Rose: Try to connect!
2137,2009-06-04,52,Rose: See what you can observe.
2138,2009-06-04,52,Rose: Stack laptop on Grimoire to maximize elevation.
2139,2009-06-04,52,Rose: Access laboratory wifi network.
2140,2009-06-05,53,==>
2141,2009-06-05,53,Rose: Remove door from hinges.
2142,2009-06-06,54,Rose: Put bathtub back.
2143,2009-06-06,54,John: Take totem to alchemiter.
2144,2009-06-06,54,Rose: Remove blocks.
2145,2009-06-06,54,==>
2146,2009-06-07,55,[S] John: Take bite of apple.
2147,2009-06-07,55,END OF ACT 1
2148,2009-06-10,58,"Years in the future, but not many..."
2149,2009-06-10,58,ACT 2 ==>
2150,2009-06-12,60,[S] ==>
2151,2009-06-13,61,==>
2152,2009-06-13,61,BOY.
2153,2009-06-14,62,[S] YOU THERE. BOY.
2154,2009-06-15,63,"BOY, QUIT ALL THIS SCURRYING AROUND."
2155,2009-06-15,63,FINE. JOHN. RETURN TO YOUR QUARTERS.
2156,2009-06-15,63,NOW JOHN. RESPOND TO YOUR FRIEND UNIT.
2157,2009-06-16,64,"FIRST, TAKE THE FABRIC ITEM ON THE FLOOR THERE."
2158,2009-06-16,64,DO AS THE PURPLE TEXT SAYS. TO THE BALCONY.
2159,2009-06-16,64,WAIT. TAKE THAT. THE BLUE WOBBLY THING.
2160,2009-06-16,64,JOHN. RECYCLE THE GRIST AS WAS DICTATED BY YOUR COHORT.
2161,2009-06-16,64,I SEE. ==>?
2162,2009-06-16,64,==>
2163,2009-06-16,64,JOHN RUN ACROSS PRECARIOUS PLATFORM SWIFTLY.
2164,2009-06-16,64,BOY I SAID MAKE HASTE ON THE NARROW CATWALK!
2165,2009-06-16,64,FINE. PROCEED AS YOUR LEVEL OF COMFORT DICTATES.
2166,2009-06-16,64,NOW TAKE IT.
2167,2009-06-17,65,==>==>
2168,2009-06-17,65,THESE BORING MEN ARE UNINTERESTING.
2169,2009-06-17,65,NO DON'T DO THAT. HOP OFF THIS LEDGE ON TO THAT CAR.
2170,2009-06-17,65,==>==>==>==>==>
2171,2009-06-17,65,"Years in the future, but not many..."
2172,2009-06-19,67,==>
2173,2009-06-19,67,==>
2174,2009-06-19,67,Rose: Check status of battery.
2175,2009-06-20,68,Rose: Prototype sprite with Betty Crocker box.
2176,2009-06-20,68,==>
2177,2009-06-20,68,DO THE POTTED VEGETABLE INSTEAD. IT LOOKS DELICIOUS.
2178,2009-06-20,68,Rose: Prototype sprite with Sassacre text.
2179,2009-06-21,69,JOHN FLAIL ABOUT IN A DISTRACTING MANNER.
2180,2009-06-21,69,==>
2181,2009-06-21,69,==>
2182,2009-06-21,69,INSPECT HAG ASH INCIDENT.
2183,2009-06-21,69,Rose: Remove cruxtruder from doorway.
2184,2009-06-21,69,DO AGAIN AS PURPLE WORDS SAY.
2185,2009-06-21,69,==>
2186,2009-06-22,70,IGNORE THIS WOMAN'S ANTICS.
2187,2009-06-22,70,INDULGE THE DEVICE. BUT BE CURT WITH IT.
2188,2009-06-22,70,ENOUGH STRANGE POETRY FROM THE RED TEXT.
2189,2009-06-22,70,THE PURPLE TEXT IS LESS IRRATIONAL THAN THE RED TEXT.
2190,2009-06-22,70,Rose: Pick up car.
2191,2009-06-22,70,==>
2192,2009-06-24,72,RIDICULOUS FOLLY. INEXCUSABLE.
2193,2009-06-24,72,WHAT COLOR ARE THE WORDS THAT THIS CHUM SAYS?
2194,2009-06-24,72,THE GREEN TEXT WAS ATTRACTIVE. NOW VIEW THE RED TEXT AGAIN.
2195,2009-06-24,72,==>
2196,2009-06-24,72,Rose: Knit laptop cozy to shield your laptop from the rain.
2197,2009-06-24,72,Rose: Equip grimoire to strife specibus.
2198,2009-06-24,72,Rose: Recaptchalogue your items!
2199,2009-06-24,72,Rose: Allocate knitting needles to strife specibus.
2200,2009-06-24,72,==>
2201,2009-06-25,73,Rose: Knit plush cuddle-cthulhu to soothe nerves.
2202,2009-06-25,73,Rose: Consult the grimoire.
2203,2009-06-25,73,==>
2204,2009-06-25,73,==>
2205,2009-06-25,73,==>
2206,2009-06-25,73,Rose: Take items and proceed downstairs.
2207,2009-06-27,75,[S] ==>
2208,2009-06-29,77,Rose: Confront mother in hall.
2209,2009-06-29,77,What??
2210,2009-06-29,77,Enter name.
2211,2009-06-29,77,Try again.
2212,2009-06-30,78,Examine room.
2213,2009-06-30,78,Dave: Quickly retrieve arms from cinderblocks.
2214,2009-06-30,78,Dave: Get the damn beta and save your friend's life!
