Page,OriginalDate,DaysSinceStart,Prompt
219,2008-03-10,0,Problem Sleuth
220,2008-03-10,0,Quickly retrieve arms from safe.
221,2008-03-10,0,"Retrieve your gun, there are dames to be rescued!"
222,2008-03-10,0,Break through glass with fist to unlock door.
223,2008-03-10,0,Thud.
224,2008-03-10,0,Take the piece of paper.
225,2008-03-10,0,"Manhandle the door knob, there are dames to be rescued!"
226,2008-03-10,0,Call the royal locksmith!
227,2008-03-10,0,Check pockets and desk drawers for phone parts
228,2008-03-10,0,Get key
229,2008-03-10,0,Next
230,2008-03-10,0,Store candy corn in safe
231,2008-03-11,1,Check the other side of the paper.
232,2008-03-11,1,Next.
233,2008-03-11,1,Open safe.
234,2008-03-11,1,Next
235,2008-03-11,1,Next
236,2008-03-11,1,Look under the fake wood paneling of the desk.
237,2008-03-11,1,Get ye flask.
238,2008-03-11,1,Drink the whisky and remember the good ol' days.
239,2008-03-11,1,"Exchange gun for whisky, then drink."
240,2008-03-11,1,OW.
241,2008-03-11,1,Use the key on the door and open it.
242,2008-03-11,1,Check what is taped to the bottom of the phone
243,2008-03-11,1,"Never mind, what's under the phone?"
244,2008-03-11,1,Take card.
245,2008-03-11,1,Walk out of the room through the now unlocked door.
246,2008-03-11,1,Look through the newly made hole in the door.
247,2008-03-11,1,Take the bust's sunglasses.
248,2008-03-11,1,Take a closer look at the mysterious clown picture.
249,2008-03-12,2,Look through the eyes of the clown.
250,2008-03-12,2,Throw a cinderblock at the door.
251,2008-03-12,2,Next
252,2008-03-12,2,Peer out the window to see what floor you're on.
253,2008-03-12,2,Take a look outside.
254,2008-03-12,2,Ask the movers with the moving van to remove Starsky statue.
255,2008-03-12,2,"Throw cinderblock at window, thereby discovering it is fake."
256,2008-03-12,2,Look.
257,2008-03-12,2,Pick up shard of glass and put it in your inventory.
258,2008-03-12,2,What's that?
259,2008-03-12,2,Turn around.
260,2008-03-13,3,Read the note under the coffee.
261,2008-03-13,3,"Using the chair, cinderblocks, and paneling, make a fort."
262,2008-03-13,3,Use your imagination to play make-believe.
263,2008-03-13,3,Fantasize.
264,2008-03-13,3,RING-RING.
265,2008-03-13,3,Check it out.
266,2008-03-14,4,Answer the phone in a very hard-boiled way.
267,2008-03-14,4,Throw the devil phone out the window.
268,2008-03-14,4,Go look.
269,2008-03-14,4,Crack open window.
270,2008-03-14,4,Next.
271,2008-03-14,4,Put window down.
272,2008-03-15,5,Place false window in inventory.
273,2008-03-15,5,Use numbers from sheet of paper to open the safe.
274,2008-03-15,5,Enter the combination.
275,2008-03-15,5,Crumple it up and throw it away.
276,2008-03-15,5,Shoot safe.
277,2008-03-15,5,Get cinderblock and phone receiver out of false window.
278,2008-03-15,5,Unplug the window to conserve electricity.
279,2008-03-15,5,Look through the eyes of the clown.
280,2008-03-15,5,Next.
281,2008-03-15,5,Push the curtain rod through one of the clown's eye holes.
282,2008-03-15,5,Get a look at the unobstructed view.
283,2008-03-15,5,Next.
284,2008-03-16,6,Shout insults at Ace Dick through the clown painting.
285,2008-03-16,6,Plug the damn window back in.
286,2008-03-16,6,Drop kick the door.
287,2008-03-16,6,Examine aftermath of shitstorm.
288,2008-03-16,6,Throw cinderblock at the door.
289,2008-03-16,6,KLUNK.
290,2008-03-16,6,Check out what's on the false safe.
291,2008-03-16,6,Take the note.
292,2008-03-16,6,Investigate coffee machine-looking object in the corner.
293,2008-03-16,6,Pick it up.
294,2008-03-16,6,"Use hat as a key net, then throw coffee maker."
295,2008-03-16,6,Catch the key.
296,2008-03-17,7,Pull hat back in.
297,2008-03-17,7,Play back message on the reel to reel.
298,2008-03-17,7,Swap the safe key with the candy corn.
299,2008-03-17,7,Pee through the clown eyes into ace dick's office.
300,2008-03-17,7,Use the key on the safe.
301,2008-03-17,7,Wrap yourself in recording tape like a mummy.
302,2008-03-17,7,Barge into the room with wild abandon.
303,2008-03-18,8,Check out the paper on the floor.
304,2008-03-18,8,Play a haunting tuba refrain.
305,2008-03-18,8,Check out the paper on the wall.
306,2008-03-18,8,Put card in your inventory.
307,2008-03-18,8,Get in dummy elevator.
308,2008-03-18,8,Go down.
309,2008-03-19,9,Peep through the slit.
310,2008-03-19,9,Listen.
311,2008-03-19,9,Next.
312,2008-03-19,9,"Feed your ""BUSTS-R-US"" card through slot."
313,2008-03-19,9,But pee on the card beforehand.
314,2008-03-19,9,CUT SCENE
315,2008-03-19,9,Next.
316,2008-03-19,9,Next.
317,2008-03-19,9,END CUT SCENE.
318,2008-03-20,10,Take swig from FLASK OF WHISKEY.
319,2008-03-20,10,Clean horns.
320,2008-03-20,10,Back to the ol' fort!
321,2008-03-20,10,Hurry!
322,2008-03-20,10,Drift into realm of make-believe.
323,2008-03-20,10,Next.
324,2008-03-21,11,Answer the imaginary phone.
325,2008-03-21,11,Eat steak dinners with hands.
326,2008-03-21,11,Gorge yourself on imaginary candy corn.
327,2008-03-21,11,Try to take imaginary gun back into real world.
328,2008-03-21,11,Stride confidently through office door.
329,2008-03-21,11,Go harass Ace Dick.
330,2008-03-21,11,Leave room.
331,2008-03-21,11,Next.
332,2008-03-22,12,Enter the P.I. room.
333,2008-03-22,12,Follow the EXIT sign.
334,2008-03-22,12,Look up at your office window.
335,2008-03-22,12,Next.
336,2008-03-22,12,Next.
